"IEA fossil fuel subsidies database","","","","","","","","","","","","","","",""
"© 2024 IEA","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"Unit: Real 2023 million USD","","","","","","","","","","","","","","",""
"","","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"Turkmenistan","Coal","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Turkmenistan","Total","11,984.3","12,177.9","12,154.2","11,541.6","9,631.6","7,639.5","5,658.8","5,540.5","5,911.5","3,949.0","2,474.3","7,813.9","19,314.2","6,225.7"
"Ukraine","Oil","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Ukraine","Electricity","7,462.1","6,816.4","5,115.3","5,173.5","6,564.6","7,620.0","6,171.8","4,867.7","5,556.1","3,318.3","2,896.6","8,302.0","10,839.6","3,766.8"
"Ukraine","Gas","10,578.0","13,345.2","12,235.5","9,514.2","8,477.3","4,741.4","-","-","1,595.7","-","-","3,019.9","7,450.3","1,475.1"
"Ukraine","Coal","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Ukraine","Total","18,040.1","20,161.5","17,350.8","14,687.7","15,041.9","12,361.5","6,171.8","4,867.7","7,151.8","3,318.3","2,896.6","11,321.9","18,289.9","5,241.9"
"UAE","Oil","2,930.5","4,509.8","4,683.8","6,463.5","4,576.6","830.6","427.0","550.4","151.7","196.2","209.3","775.8","4,797.4","273.5"
"UAE","Electricity","6,121.2","6,205.9","6,094.8","4,150.6","3,410.9","2,273.1","1,565.8","1,606.4","2,893.0","495.7","54.0","4,910.1","12,091.5","5,022.0"
"UAE","Gas","11,643.9","8,864.7","11,493.4","11,255.9","8,639.4","9,130.5","7,744.3","6,605.5","5,868.3","5,846.4","5,376.6","13,240.3","18,445.5","8,765.3"
"UAE","Coal","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"UAE","Total","20,695.6","19,580.4","22,271.9","21,869.9","16,626.9","12,234.3","9,737.2","8,762.3","8,913.0","6,538.3","5,639.9","18,926.1","35,334.4","14,060.7"
"Uzbekistan","Oil","16.1","543.1","585.2","468.5","500.2","162.0","189.1","525.2","1,180.8","981.8","450.2","824.9","1,742.3","713.6"
"Uzbekistan","Electricity","2,169.5","2,175.8","1,951.5","1,559.7","1,092.8","751.0","423.8","1,634.3","3,087.3","1,790.9","1,611.5","4,484.9","5,965.8","3,036.0"
"Uzbekistan","Gas","9,628.3","8,021.7","6,458.6","5,974.9","4,833.9","3,102.8","2,436.1","4,628.7","6,902.9","3,915.7","3,264.8","12,460.7","13,831.0","7,364.2"
"Uzbekistan","Coal","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Uzbekistan","Total","11,813.8","10,740.5","8,995.3","8,003.1","6,426.9","4,015.8","3,049.0","6,788.2","11,170.9","6,688.4","5,326.5","17,770.5","21,539.1","11,113.8"
"Venezuela","Oil","8,725.5","10,427.2","12,541.1","17,454.7","16,466.6","5,570.9","3,875.2","7,109.4","8,830.9","6,581.5","711.4","2,905.4","6,188.1","4,895.0"
"Venezuela","Electricity","1,971.0","1,456.6","2,347.4","6,248.6","4,169.5","2,297.7","1,913.6","4,027.8","5,268.7","3,568.6","3,060.8","5,740.6","7,909.1","5,046.7"
"Venezuela","Gas","682.4","1,338.4","1,612.0","2,566.4","2,044.0","860.7","557.2","1,084.6","1,873.4","697.5","308.5","1,059.3","3,296.8","3,555.7"
"Venezuela","Coal","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Venezuela","Total","11,378.9","13,222.2","16,500.4","26,269.7","22,680.0","8,729.2","6,346.0","12,221.7","15,973.0","10,847.6","4,080.7","9,705.3","17,394.0","13,497.3"
"Vietnam","Oil","96.1","61.5","15.5","18.6","0.1","-","1.0","-","-","-","-","-","681.9","143.2"
"Vietnam","Electricity","3,634.7","4,155.7","4,964.0","1,481.7","867.9","44.6","-","-","297.3","-","-","4,124.9","27,045.7","3,372.5"
"Vietnam","Gas","257.6","457.2","821.1","468.3","357.7","-","-","-","32.1","-","-","201.0","755.4","81.9"
"Vietnam","Coal","21.6","19.9","9.9","6.4","22.8","43.0","117.5","209.3","334.1","511.0","574.0","767.7","3,960.4","-"
"Vietnam","Total","4,010.0","4,694.3","5,810.5","1,975.1","1,248.5","87.5","118.5","209.3","663.5","511.0","574.0","5,093.6","32,443.5","3,597.5"
"France","Oil","-","-","-","-","-","-","-","-","-","-","-","-","17.7","-"
"France","Electricity","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"France","Gas","-","-","-","-","-","-","-","-","-","-","-","-","7,707.0","-"
"France","Coal","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"France","Total","-","-","-","-","-","-","-","-","-","-","-","-","7,724.7","-"
"United Kingdom","Oil","-","-","-","-","-","-","-","-","-","-","-","-","117.9","-"
"United Kingdom","Electricity","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"United Kingdom","Gas","-","-","-","-","-","-","-","-","-","-","-","-","6,571.8","-"
"United Kingdom","Coal","-","-","-","-","-","-","-","-","-","-","-","-","0.7","-"
"United Kingdom","Total","-","-","-","-","-","-","-","-","-","-","-","-","6,690.5","-"
"Austria","Oil","-","-","-","-","-","-","-","-","-","-","-","-","7.2","-"
"Austria","Electricity","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Austria","Gas","-","-","-","-","-","-","-","-","-","-","-","-","1,445.1","-"
"Austria","Coal","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Austria","Total","-","-","-","-","-","-","-","-","-","-","-","-","1,452.3","-"
"Hungary","Oil","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Hungary","Electricity","-","-","-","-","-","-","-","-","-","-","-","-","1,637.3","-"
"Hungary","Gas","-","-","-","-","-","-","-","-","-","-","-","-","4,573.9","-"
"Hungary","Coal","-","-","-","-","-","-","-","-","-","-","-","-","1.2","-"
"Hungary","Total","-","-","-","-","-","-","-","-","-","-","-","-","6,212.4","-"
"Poland","Oil","-","-","-","-","-","-","-","-","-","-","-","-","19.8","-"
"Poland","Electricity","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Poland","Gas","-","-","-","-","-","-","-","-","-","-","-","-","4,148.6","-"
"Poland","Coal","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Poland","Total","-","-","-","-","-","-","-","-","-","-","-","-","4,168.5","-"
"Slovak Republic","Oil","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Slovak Republic","Electricity","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Slovak Republic","Gas","-","-","-","-","-","-","-","-","-","-","-","-","1,363.1","-"
"Slovak Republic","Coal","-","-","-","-","-","-","-","-","-","-","-","-","19.5","-"
"Slovak Republic","Total","-","-","-","-","-","-","-","-","-","-","-","-","1,382.7","-"
"Croatia","Oil","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Croatia","Electricity","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Croatia","Gas","-","-","-","-","-","-","-","-","-","-","-","-","846.7","-"
"Croatia","Coal","-","-","-","-","-","-","-","-","-","-","-","-","1.0","-"
"Croatia","Total","-","-","-","-","-","-","-","-","-","-","-","-","847.7","-"
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
