"IEA fossil fuel subsidies database","","","","","","","","","","","","","","",""
"© 2024 IEA","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"Unit: Real 2023 million USD","","","","","","","","","","","","","","",""
"","","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"Brunei","Electricity","149.7","125.3","120.4","50.3","26.2","17.2","-","-","24.7","-","-","137.4","574.7","120.1"
"Brunei","Gas","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Brunei","Coal","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Brunei","Total","383.6","432.9","453.5","368.3","319.3","198.8","108.3","188.1","257.5","179.5","57.4","302.9","867.6","375.8"
"China","Oil","13,023.2","12,537.1","12,125.7","12,792.3","12,744.8","14,991.5","17,085.0","19,635.6","18,621.9","18,368.8","17,898.3","18,094.9","24,455.4","27,648.2"
"China","Electricity","32,681.3","34,698.9","25,736.4","14,871.3","11,482.3","11,476.5","33,499.1","30,555.7","32,906.3","15,093.4","106.5","24,656.7","50,839.3","21,384.2"
"China","Gas","-","580.7","1,165.2","2,572.2","3,301.7","-","-","-","1,490.5","-","-","-","18,722.5","-"
"China","Coal","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"China","Total","45,704.5","47,816.6","39,027.3","30,235.9","27,528.7","26,467.9","50,584.1","50,191.3","53,018.6","33,462.3","18,004.8","42,751.6","94,017.1","49,032.4"
"Colombia","Oil","148.4","214.4","48.4","1.5","1.0","877.2","765.0","429.6","668.8","628.5","466.1","1,571.9","8,916.9","749.5"
"Colombia","Electricity","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Colombia","Gas","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Colombia","Coal","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Colombia","Total","148.4","214.4","48.4","1.5","1.0","877.2","765.0","429.6","668.8","628.5","466.1","1,571.9","8,916.9","749.5"
"Ecuador","Oil","3,589.8","5,412.2","5,849.7","5,607.9","5,029.5","2,727.7","1,629.3","2,613.0","3,536.9","3,182.8","911.7","1,777.1","4,234.3","1,693.2"
"Ecuador","Electricity","17.1","163.7","296.5","573.9","581.8","-","-","-","-","-","-","53.1","201.8","24.5"
"Ecuador","Gas","-","0.0","-","11.3","9.5","1.0","-","1.7","7.2","2.1","0.5","15.8","14.8","12.7"
"Ecuador","Coal","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Ecuador","Total","3,606.9","5,576.0","6,146.2","6,193.1","5,620.8","2,728.7","1,629.3","2,614.7","3,544.1","3,184.8","912.2","1,845.9","4,451.0","1,730.4"
"Egypt","Oil","14,856.0","19,731.7","17,441.3","17,251.8","14,514.7","7,926.8","6,627.2","15,355.9","17,846.4","11,666.7","6,451.6","9,960.8","16,604.8","14,873.7"
"Egypt","Electricity","3,382.1","5,020.6","5,206.1","5,547.8","4,568.5","4,407.2","4,111.5","9,369.6","11,678.7","5,977.3","2,338.2","10,453.8","24,916.2","11,459.8"
"Egypt","Gas","731.9","1,582.9","1,636.4","2,043.4","1,061.1","972.0","458.2","1,574.4","2,669.6","50.3","19.8","1,792.2","8,434.3","2,642.8"
"Egypt","Coal","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Egypt","Total","18,969.9","26,335.2","24,283.9","24,843.0","20,144.3","13,305.9","11,196.9","26,299.8","32,194.7","17,694.3","8,809.6","22,206.8","49,955.3","28,976.4"
"ElSalvador","Oil","34.4","-","-","-","-","-","-","-","-","-","-","-","-","-"
"ElSalvador","Electricity","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"ElSalvador","Gas","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"ElSalvador","Coal","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"ElSalvador","Total","34.4","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Gabon","Oil","-","-","55.5","91.2","139.6","189.6","171.8","62.1","52.5","47.2","50.8","27.8","71.3","78.2"
